"provider_id","usdot","display_name","legal_name","dba_name","usdot_status","state","power_units","drivers","classification","reason_codes","conflicts","authority_rows","history_rows","insurance_rows","census_dockets","dba_display_pass","trace_pass"
"21086a87-b829-5a11-8443-7ea30e268ad4","3330115","TWO MEN AND A TRUCK","TEN CITIES III LLC","TWO MEN AND A TRUCK","A","DE","11","10","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","1","1","2","1","true","true"
"04705a86-3d21-509d-8b82-b644b3b9e452","579922","VAN LINES USA INCORPORATED","VAN LINES USA INCORPORATED","","A","FL","2","2","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","2","2","2","1","true","true"
"051f935d-9da2-5a1d-8469-04dea2aae7fa","1727120","COLONIAL VAN LINES INC","COLONIAL VAN LINES INC","","A","GA","27","23","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","4","4","2","1","true","true"
"63814db7-e6f6-5de6-a2ed-301d101a093b","548914","XPRESS TRUCKING INC","XPRESS TRUCKING INC","","A","HI","110","68","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","2","2","2","1","true","true"
"02bfae90-d307-5e14-86f8-daf225f4843f","3528959","ALL MY SONS MOVING & STORAGE OF DES MOINES LLC","ALL MY SONS MOVING & STORAGE OF DES MOINES LLC","","A","IA","3","5","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","2","2","2","1","true","true"
"2a881476-bd91-5df1-a355-bbfd3027e074","2456819","TWO MEN AND A TRUCK","KELTIC COMPANY","TWO MEN AND A TRUCK","A","ID","10","9","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","2","2","2","1","true","true"
"0427cf0d-4dce-571f-834b-2552a16025ad","4116447","THE MOVING CREW LLC","THE MOVING CREW LLC","","A","IL","2","1","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","1","1","2","2","true","true"
"0466ef2f-d108-5aaa-88b4-f2d776705b28","4340137","SKYDRA MOVING LLC","SKYDRA MOVING LLC","","A","IN","2","2","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","2","2","2","1","true","true"
"57bef41e-62bd-5f99-adcb-82d7bf768be6","527894","TRANS SERVICES INC","TRANS SERVICES INC","","A","KS","47","37","INTERSTATE_CARRIER","ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","2","2","2","0","true","true"
"5ad57cb8-fc44-5491-9bf8-911ee62a03db","4548256","SQUARE COW MOOVERS","IRON YOKE ENTERPRISES LLC","SQUARE COW MOOVERS","A","KY","2","2","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","1","1","3","1","true","true"
"003030d9-4f5f-50ba-b7b1-2fe38b24544f","3196055","WILLIAMS TRANSPORTATION AND STORAGE","WILLIAMS TRANSPORTATION AND STORAGE","","A","LA","2","2","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","2","2","2","1","true","true"
"053d9c3c-61db-5077-a151-7f27eacba256","4574476","NOMAD RELOCATION CO","NOMAD RELOCATION CO","","A","MA","1","2","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","1","2","2","1","true","true"
"2bde545f-cdbc-58a7-b0a9-f7c53e117726","897517","RUN-RITE FREIGHT SYSTEMS INC","RUN-RITE FREIGHT SYSTEMS INC","","A","MB","11","25","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","2","2","2","1","true","true"
"07f987ac-1697-583e-aa0e-381ddac9aacd","1300300","JK MOVING SERVICES","JK MOVING & STORAGE OF MARYLAND INC","JK MOVING SERVICES","A","MD","26","26","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","1","1","2","1","true","true"
"0fe75e13-abe5-5468-9f38-d71af7db15da","2162841","LOCAL MUSCLE LLC","LOCAL MUSCLE LLC","","A","ME","7","20","INTERSTATE_CARRIER","HHG_CARGO_REPORTED,ACTIVE_USDOT,ACTIVE_INTERSTATE_HHG_AUTHORITY","","1","3","2","1","true","true"
"03351477-b1f7-50b0-af31-f661858e02ed","4517482","RG ALLIANCE BROKERAGE INC","RG ALLIANCE BROKERAGE INC","","A","AB","0","","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"00083c01-4119-52f9-9790-7be38c671c63","2076018","JAMES C PITCHER","JAMES C PITCHER","","A","AK","1","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","0","true","true"
"000c6bcc-ac03-5897-be75-6cc9bf5cb0f9","1582303","RALPH BROWN","RALPH BROWN","","A","AL","2","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","0","true","true"
"00a9342e-38c2-55cd-82f8-96fcfff08347","3595391","JORDAN LOGISTICAL TEAM","JORDAN LOGISTICAL TEAM","","A","AR","0","","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"1fb3a513-110b-59b4-8b22-940e64569f38","4304462","DE JURE MORROCAN COVENANT LLC- ADMINISTRATOR OF ESTATE OF DE JURE MOROCCAN COVENANT TRUST 99-6843945","DE JURE MOROCCAN COVENANT LLC","DE JURE MORROCAN COVENANT LLC- ADMINISTRATOR OF ESTATE OF DE JURE MOROCCAN COVENANT TRUST 99-6843945","A","AS","0","2","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","0","true","true"
"004c4db6-028c-5163-abde-f8404e432e68","2924611","RISING PHOENIX MOVERS LLC","RISING PHOENIX MOVERS LLC","","A","AZ","1","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","0","true","true"
"00034efb-b985-595a-bb59-96dc49a75ff2","1148507","GRANGER TRUCKING LTD","GRANGER TRUCKING LTD","","A","BC","2","3","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","1","true","true"
"0f10bd28-088c-5fb7-b119-58ae8e168318","556788","MAQUINARIA Y LUBRICANTES DEL NOROESTE SA CV","MAQUINARIA Y LUBRICANTES DEL NOROESTE SA CV","","A","BN","2","1","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","2","true","true"
"0016e554-c80c-598a-9956-b20c91379247","9535161","24/7 HAULERS INC","24/7 HAULERS INC","","A","CA","4","8","LOCAL_INTRASTATE_CARRIER_CANDIDATE","HHG_CARGO_REPORTED,ACTIVE_USDOT,NO_INTERSTATE_HHG_AUTHORITY,STATE_AUTHORITY_PENDING","","0","0","0","0","true","true"
