"provider_id","display_name","legal_name","dba_name","usdot","classification","place_id","match_status","score","reason_codes","conflict_codes","website_url","website_status","evidence_status","derived_service_area_required","accepted_evidence_pass","regulatory_unchanged"
"ee8b68a6-b1ac-5024-8293-1ade7aa676bd","ABILENE MOTOR EXPRESS","ABILENE MOTOR EXPRESS LLC","ABILENE MOTOR EXPRESS","335555","LOCAL_INTRASTATE_CARRIER_CANDIDATE","ChIJoTX2YCEPsYkRdV_YfyHNGG4","GOOGLE_MATCH_HIGH_CONFIDENCE","100","DBA_EXACT|PHONE_EXACT|STREET_EXACT|STATE_EXACT","","https://www.abilenemotor.com/","WEBSITE_REJECTED","SERVICE_AREA_NOT_FOUND","true","true","true"
"f9031486-c059-5e00-bc69-b94a933d0104","BUSTERS WRECKER SERVICE","JERRY WILLIAMS","BUSTERS WRECKER SERVICE","3699648","NEEDS_REGULATORY_REVIEW","ChIJo4NPQvfyW4gRXctAqtezBfA","GOOGLE_MATCH_HIGH_CONFIDENCE","100","NAME_FUZZY|PHONE_EXACT|STREET_EXACT|CITY_EXACT|STATE_EXACT","","https://www.busterstowingandautorepair.com/","WEBSITE_REVIEW","SERVICE_AREA_NOT_FOUND","true","true","true"
"fd098909-4ddb-5de0-b369-c73018f4b662","M-TRUCKS AND MOVERS","NEZERO LLC","M-TRUCKS AND MOVERS","4531082","INTERSTATE_CARRIER","ChIJq1s1UqhBkFQRMao0I0wiOxc","GOOGLE_MATCH_HIGH_CONFIDENCE","100","DBA_EXACT|STREET_EXACT|CITY_EXACT|STATE_EXACT","","","","SERVICE_AREA_NOT_FOUND","true","true","true"
"ef1ffd2f-20b9-5a0f-8ba8-4788acfbe6ed","ARMSTRONG RELOCATION","ARMSTRONG RELOCATION COMPANY HUNTSVILLE LLC","ARMSTRONG RELOCATION","1509427","INTERSTATE_CARRIER","ChIJSdKz4UtlYogRelYiMF5Hj7U","GOOGLE_MULTIPLE_PLAUSIBLE_MATCHES","65","NAME_FUZZY|PHONE_EXACT|CITY_EXACT|STATE_EXACT","STREET_CONFLICT|PLACE_ID_ALREADY_LINKED","","","","","","true"
"134f9077-9c50-5fc6-b2e5-bf570f181c41","AR'S TOWING & RECOVERY","ANAND RAMSAROOP","AR'S TOWING & RECOVERY","2532129","NEEDS_REGULATORY_REVIEW","ChIJ_aR-Jqdx3okRatY4MVu1rgU","GOOGLE_MATCH_REVIEW","65","NAME_FUZZY|CITY_EXACT|STATE_EXACT","PHONE_CONFLICT|STREET_CONFLICT","","","","","","true"
"4aab3e82-95ab-502a-a73b-4d31bc64a03d","CENTENARIO TRANSPORT","JOSE LUIS SANCHEZ","CENTENARIO TRANSPORT","1221274","NEEDS_REGULATORY_REVIEW","ChIJO774Nl6Gj4AR5nbTVlkcY-w","GOOGLE_MATCH_REVIEW","65","DBA_EXACT|CITY_EXACT|STATE_EXACT","PHONE_CONFLICT|STREET_CONFLICT","","","","","","true"
"295cc9bb-5e00-524f-bf06-c3148af0c375","BIG C'S TOWING","BENJAMIN CHRIS CLINE","BIG C'S TOWING","2206402","NEEDS_REGULATORY_REVIEW","ChIJXUYvgTChtocRSVWfA4LYQcY","GOOGLE_MATCH_REVIEW","65","NAME_FUZZY|STATE_EXACT","PHONE_CONFLICT|STREET_CONFLICT","","","","","","true"
"7cf6d0ad-3bd0-5497-be8b-5649a3d896dc","ABOUT TIME TRANSPORT","ABOUT TIME TOWING LLC","ABOUT TIME TRANSPORT","2975163","NEEDS_REGULATORY_REVIEW","ChIJG-y7VQMFIogRYIdaE-aL91c","GOOGLE_MATCH_REVIEW","65","NAME_FUZZY|STATE_EXACT","PHONE_CONFLICT|STREET_CONFLICT","","","","","","true"
"b6560954-164d-5320-a6f4-7c0c03fe3d10","SECURE CAR SHIPPING LLC","SECURE CAR SHIPPING LLC","","4235861","LOCAL_INTRASTATE_CARRIER_CANDIDATE","ChIJZVr_feoxWIgRWs0c1AdFkoQ","GOOGLE_MATCH_REVIEW","65","NAME_FUZZY|STREET_EXACT|CITY_EXACT|STATE_EXACT","PHONE_CONFLICT","","","","","","true"
"71a770a9-ccf9-54a2-9b82-f567fbde3048","ARMSTRONG RELOCATION","ARMSTRONG RELOCATION COMPANY NEW ORLEANS LLC","ARMSTRONG RELOCATION","3256232","INTERSTATE_CARRIER","ChIJ8aZ1cHi3IIYRoJA_IZlA6IU","GOOGLE_MATCH_REVIEW","65","NAME_FUZZY|STREET_EXACT|CITY_EXACT|STATE_EXACT","PHONE_CONFLICT","","","","","","true"
