north dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIVE,ADDRESS,ADDRESS2,ASSET,BKCLASS,CALLFORM,CB,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CFPBEFFDTE,CFPBENDDTE,CFPBFLAG,CHANGEC1,CHARTER,CHRTAGNT,CITY,CITYHCR,CLCODE,CONSERVE,COUNTY,CSA,CSA_FLG,CSA_NO,DATEUPDT,DENOVO,DEP,DEPDOM,DOCKET,EFFDATE,ENDEFYMD,EQ,ESTYMD,FDICDBS,FDICREGN,FDICSUPV,FED,FEDCHRTR,FED_RSSD,FORM31,HCTMULT,IBA,ID,INACTIVE,INSAGNT1,INSAGNT2,INSBIF,INSCOML,INSDATE,INSDIF,INSFDIC,INSSAIF,INSSAVE,INSTAG,INSTCRCD,LATITUDE,LAW_SASSER_FLG,LONGITUDE,MDI_STATUS_CODE,MDI_STATUS_DESC,MUTUAL,NAME,NAMEHCR,NETINC,NETINCQ,NEWCERT,OAKAR,OCCDIST,OCCDISTDESC,OFFDOM,OFFFOR,OFFICES,OFFOA,OI,PARCERT,PRIORNAME1,PRIORNAME2,PROCDATE,QBPRCOML,REGAGENT2,REGAGNT,REPDTE,RISDATE,ROA,ROAPTX,ROAPTXQ,ROAQ,ROE,ROEQ,RSSDHCR,RUNDATE,S10T250B,SASSER,SPECGRP,SPECGRPN,STALP,STALPHCR,STCHRTR,STCNTY,STNAME,STNUM,SUBCHAPS,SUPRV_FD,SZ100,SZ100T1B,SZ1BT10B,SZ250BP,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TRACT,TRUST,ULTCERT,UNINUM,WEBADDR,ZIP,PRIORNAME3,CHANGEC2,CHANGEC3,CHANGEC4,CHANGEC5,CHANGEC6,PRIORNAME4,FEDDESC,PRIORNAME5,PRIORNAME6,,
1,320 S Canal St,,251964731,N,31,0,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Evanston, IL",1,16984,16980,1,"Chicago-Naperville-Elgin, IL-IN-WI",0,16980,16571,7/21/2011,12/31/9999,1,820,14583,OCC,Chicago,MONTREAL,3,N,Cook,"Chicago-Naperville, IL-IN-WI",1,176,6/9/2025,0,193961053,193961053,0,5/19/2025,12/31/9999,37611001,5/17/1947,9,Chicago,Washington,7,1,75633,1,1,0,16571,0,DIF,,0,1,5/17/1947,1,1,0,0,0,0,41.877258,N,-87.64035801,,NONE,0,BMO Bank National Association,BANK OF MONTREAL,732963,732963,0,0,6,,990,0,990,0,0,0,"Harris Bank Glencoe-Northbrook, National Association",Harris National Association,6/9/2025,3,,OCC,3/31/2026,3/31/2026,1.163343587,1.523588812,1.52,1.16,7.82,7.82,1231333,6/26/2026,0,0,4,Commercial Lending Specialization,IL,0,0,17031,Illinois,17,0,16,0,0,0,1,NA,BMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,16571,10718,www.bmo.com,60606,BMO Harris Bank National Association,820,820,820,820,820,Glencoe National Bank,,,,,
1,20175 N 67th Ave,,1061418,N,51,1,"Phoenix-Mesa-Chandler, AZ",,0,,38060,1,"Phoenix-Mesa-Chandler, AZ",0,38060,57197,12/31/9999,12/31/9999,0,,24224,OCC,Glendale,BISMARCK,3,N,Maricopa,"Phoenix-Mesa, AZ",1,429,4/11/2024,0,938240,938240,0,11/18/2023,12/31/9999,117805,7/9/2001,14,San Francisco,Kansas City,12,1,2358769,0,,0,57197,0,DIF,,0,1,7/9/2001,1,1,0,0,0,0,33.66584998,N,-112.202408,,NONE,0,BNC National Bank,BNCCORP INC,2817,2817,0,0,4,WESTERN DISTRICT,13,0,13,0,0,0,BNC National Bank of Arizona,,4/11/2024,6,,OCC,3/31/2026,3/31/2026,1.043241084,1.354695025,1.35,1.04,9.68,9.68,1248162,6/26/2026,0,0,4,Commercial Lending Specialization,AZ,ND,0,4013,Arizona,4,0,11,0,0,1,0,,,,,,,,,,,,,,,,,1,10,57197,359425,www.bncbank.com,85308,,,,,,,,SAN FRANCISCO,,,,
1,4530 17th Ave S,,1063463,NM,41,1,"Fargo, ND-MN",,0,,22020,1,"Fargo, ND-MN",0,22020,20776,12/31/9999,12/31/9999,0,,0,STATE,Fargo,GREENBUSH,21,N,Cass,"Fargo-Wahpeton, ND-MN",1,244,7/15/2024,0,915673,915673,0,6/30/2024,12/31/9999,94017,8/21/1972,11,Kansas City,Kansas City,9,0,977951,0,,0,20776,0,DIF,,0,1,8/21/1972,1,1,0,0,0,0,46.85397667,N,-96.86348759,,NONE,0,Border Bank,BORDER BANCSHARES INC,2996,2996,0,0,,,11,0,11,0,0,0,Union State Bank of Fargo,,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,1.127090134,1.127090134,1.13,1.13,12.82,12.82,2238544,6/26/2026,0,0,4,Commercial Lending Specialization,ND,MN,1,38017,North Dakota,38,1,11,0,0,1,0,,,,,,,,,,,,,,,,,0,0,20776,14350,www.border.bank,58103,,,,,,,,,,,,
1,220 1st Ave W,,3884241,NM,41,1,"Dickinson, ND",,0,,0,0,,1,19860,22559,12/31/9999,12/31/9999,0,810,0,STATE,Dickinson,DICKINSON,21,N,Stark,,0,,10/17/2025,0,3404968,3404968,14001,10/6/2025,12/31/9999,397927,12/1/1977,11,Kansas City,Kansas City,9,0,971959,0,1,0,22559,0,DIF,,0,1,12/1/1977,1,1,0,0,1,0,46.88125118,N,-102.7864832,,NONE,0,Bravera Bank,BRAVERA HOLDINGS CORP,12003,12003,0,0,,,35,0,35,0,0,0,Bismarck State Bank,Bank Center One,10/17/2025,4,,FDIC,3/31/2026,3/31/2026,1.244230836,1.573040318,1.57,1.24,12.12,12.12,1133781,6/26/2026,0,0,2,Agricultural Specialization,ND,ND,1,38089,North Dakota,38,0,11,0,0,1,0,,,,,,,,,,,,,,,,,1,0,22559,15735,www.bravera.bank,58601,"Bank Center First, Bismarck",,,,,,American Bank Center First,,American Bank Center,,,
1,4501 23rd Ave S,,6133303,NM,41,1,"Fargo, ND-MN",,0,,22020,1,"Fargo, ND-MN",0,22020,9423,12/31/9999,12/31/9999,0,,0,STATE,Fargo,FARGO,21,N,Cass,"Fargo-Wahpeton, ND-MN",1,244,7/15/2024,0,5019419,5019419,14054,6/30/2024,12/31/9999,700003,1/1/1906,11,Kansas City,Kansas City,9,0,826956,0,,0,9423,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,46.84457666,N,-96.86281838,,NONE,0,Choice Financial Group,CHOICE FINANCIAL HOLDINGS INC,19464,19464,0,0,,,18,0,18,0,0,0,Citizens State Bank of Petersburg,Citizens State Bank Grafton-Petersburg,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,1.28819393,1.562193255,1.56,1.29,11.26,11.26,1125030,6/26/2026,0,0,4,Commercial Lending Specialization,ND,ND,1,38017,North Dakota,38,0,11,0,0,1,0,,,,,,,,,,,,,,,,,0,0,9423,6054,HTTP://WWW.BANKWITHCHOICE.COM,58104,,,,,,,,,,,,
1,401 Main Street,,76935,NM,41,1,,,,,0,,,,,9422,12/31/9999,12/31/9999,0,,0,STATE,Lankin,LANKIN,21,N,Walsh,,,,7/15/2024,0,63633,63633,0,6/30/2024,12/31/9999,5940,5/15/1905,11,Kansas City,Kansas City,9,0,940852,0,,0,9422,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,48.31425731,N,-97.92342618,,NONE,0,Citizens State Bank of Lankin,CITIZENS STATE BANCSHARES INC,160,160,0,0,,,4,0,4,0,0,0,,,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,0.85825399,0.85825399,0.86,0.86,10.46,10.46,2253060,6/26/2026,0,0,2,Agricultural Specialization,ND,ND,1,38099,North Dakota,38,1,11,1,0,0,0,,,,,,,,,,,,,,,,,0,0,9422,6053,http://www.csb100.com,58250,,,,,,,,,,,,
1,325 Brown Ave,,145733,NM,51,1,,,,,0,,,,,15741,12/31/9999,12/31/9999,0,,0,STATE,Mott,MOTT,21,N,Hettinger,,,,7/15/2024,0,121953,121953,0,6/30/2024,12/31/9999,17076,6/12/1940,11,Kansas City,Kansas City,9,0,1008553,0,,0,15741,0,DIF,,0,1,6/13/1940,1,1,0,0,1,0,46.37374025,N,-102.3268922,,NONE,0,Commercial Bank of Mott,COMMERCIAL BK MOTT EMPLOYEE STK OWNERSHIP PLAN,607,607,0,0,,,1,0,1,0,0,0,,,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,1.70977487,1.70977487,1.71,1.71,13.92,13.92,2354592,6/26/2026,0,0,2,Agricultural Specialization,ND,ND,1,38041,North Dakota,38,1,11,0,1,0,0,,,,,,,,,,,,,,,,,0,0,15741,9995,http://www.cbmott.com,58646,,,,,,,,,,,,
1,2280 45th St S,,1750393,NM,41,1,"Fargo, ND-MN",,0,,22020,1,"Fargo, ND-MN",0,22020,13198,12/31/9999,12/31/9999,0,,0,STATE,Fargo,FARGO,21,N,Cass,"Fargo-Wahpeton, ND-MN",1,244,7/15/2024,0,1538604,1538604,0,6/30/2024,12/31/9999,143725,7/15/1907,11,Kansas City,Kansas City,9,0,879457,0,,0,13198,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,46.84465051,N,-96.86084654,,NONE,0,Cornerstone Bank,CORNERSTONE HOLDING CO INC,5601,5601,0,0,,,12,0,12,0,0,0,Citizens State Bank,,7/15/2024,4,,FDIC,3/31/2026,3/31/2026,1.267329331,1.711946745,1.71,1.27,15.72,15.72,3435283,6/26/2026,0,0,4,Commercial Lending Specialization,ND,ND,1,38017,North Dakota,38,0,11,0,0,1,0,,,,,,,,,,,,,,,,,0,20,13198,8352,www.cornerstone.bank,58104,,,,,,,,,,,,
1,308 S Main St,,4867664,SM,41,1,"Aberdeen, SD",,0,,0,0,,1,10100,17437,12/31/9999,12/31/9999,0,,0,STATE,Aberdeen,ABERDEEN,13,N,Brown,,0,,7/15/2024,0,4352301,4352301,14405,6/30/2024,12/31/9999,469536,4/30/1955,11,Kansas City,Kansas City,9,0,256553,0,,0,17437,0,DIF,,0,1,4/30/1955,1,1,0,0,1,0,45.461611,N,-98.488488,,NONE,0,Dacotah Bank,DACOTAH BANKS INC,13703,13703,0,0,,,33,0,32,0,0,0,Farmers and Merchants Bank,Farmers & Merchants Bank and Trust Co.,7/15/2024,4,,FED,3/31/2026,3/31/2026,1.129817382,1.392009549,1.39,1.13,11.77,11.77,1121229,6/26/2026,0,0,2,Agricultural Specialization,SD,SD,1,46013,South Dakota,46,0,11,0,0,1,0,,,,,,,,,,,,,,,,,1,10,17437,11430,www.dacotahbank.com,57401,,,,,,,,,,,,
1,609 Main St,,1387693,N,51,1,"Bismarck, ND",,0,,13900,1,"Bismarck, ND",0,13900,15728,12/31/9999,12/31/9999,0,,24604,OCC,Hebron,HEBRON,3,N,Morton,,0,,7/15/2024,0,1247802,1247802,0,6/30/2024,12/31/9999,110589,1/1/1940,11,Kansas City,Kansas City,9,1,815156,0,,0,15728,0,DIF,,0,1,3/11/1940,1,1,0,0,1,0,46.90063102,N,-102.045985,,NONE,0,"Dakota Community Bank & Trust, National Association",DAKOTA COMMUNITY BANSHARES INC,6138,6138,0,0,4,WESTERN DISTRICT,13,0,13,0,0,0,Dakota Community Bank,"Dakota Community Bank, National Association",7/15/2024,4,,OCC,3/31/2026,3/31/2026,1.763640432,1.772260375,1.77,1.76,22.29,22.29,2265782,6/26/2026,0,0,2,Agricultural Specialization,ND,ND,0,38059,North Dakota,38,1,11,0,0,1,0,,,,,,,,,,,,,,,,,1,10,15728,9987,www.dakotacommunitybank.com,58638,Security Bank of Hebron,,,,,,,,,,,
