ACTIVE,ADDRESS,ADDRESS2,ASSET,BKCLASS,CALLFORM,CB,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CFPBEFFDTE,CFPBENDDTE,CFPBFLAG,CHARTER,CHRTAGNT,CITY,CITYHCR,CLCODE,CONSERVE,COUNTY,CSA,CSA_FLG,CSA_NO,DATEUPDT,DENOVO,DEP,DEPDOM,DOCKET,EFFDATE,ENDEFYMD,EQ,ESTYMD,FDICDBS,FDICREGN,FDICSUPV,FED,FEDCHRTR,FED_RSSD,FORM31,HCTMULT,IBA,ID,INACTIVE,INSAGNT1,INSAGNT2,INSBIF,INSCOML,INSDATE,INSDIF,INSFDIC,INSSAIF,INSSAVE,INSTAG,INSTCRCD,LATITUDE,LAW_SASSER_FLG,LONGITUDE,MDI_STATUS_CODE,MDI_STATUS_DESC,MUTUAL,NAME,NAMEHCR,NETINC,NETINCQ,NEWCERT,OAKAR,OCCDIST,OCCDISTDESC,OFFDOM,OFFFOR,OFFICES,OFFOA,OI,PARCERT,PRIORNAME1,PROCDATE,QBPRCOML,REGAGENT2,REGAGNT,REPDTE,RISDATE,ROA,ROAPTX,ROAPTXQ,ROAQ,ROE,ROEQ,RSSDHCR,RUNDATE,S10T250B,SASSER,SPECGRP,SPECGRPN,STALP,STALPHCR,STCHRTR,STCNTY,STNAME,STNUM,SUBCHAPS,SUPRV_FD,SZ100,SZ100T1B,SZ1BT10B,SZ250BP,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TRACT,TRUST,ULTCERT,UNINUM,WEBADDR,ZIP,PRIORNAME2,CHANGEC1,PRIORNAME3,FEDDESC,CHANGEC2,PRIORNAME4,CHANGEC3,CHANGEC4,CHANGEC5,CHANGEC6,PRIORNAME5,PRIORNAME6,PRIORNAME7
1,556 Randall Rd,,490530,NM,51,1,"Chicago-Naperville-Elgin, IL-IN-WI","Elgin, IL",1,20994,16980,1,"Chicago-Naperville-Elgin, IL-IN-WI",0,16980,57359,12/31/9999,12/31/9999,0,0,STATE,South Elgin,SOUTH ELGIN,21,N,Kane,"Chicago-Naperville, IL-IN-WI",1,176,8/31/2022,0,375245,375245,0,8/31/2022,12/31/9999,43225,10/17/2002,9,Chicago,Chicago,7,0,3116519,0,,0,57359,0,DIF,,0,1,10/17/2002,1,1,0,0,0,0,41.973656,N,-88.34159901,,NONE,0,American Eagle Bank,ORCHID FINANCIAL BCORP INC,613,613,0,0,,,2,0,2,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,0.49662922,0.695118876,0.7,0.5,5.68,5.68,3116498,6/26/2026,0,0,4,Commercial Lending Specialization,IL,IL,1,17089,Illinois,17,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,57359,362437,www.americaneaglebank.com,60177,,,,,,,,,,,,,
1,4878 N Broadway St,,117937,NM,51,1,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Evanston, IL",1,16984,16980,1,"Chicago-Naperville-Elgin, IL-IN-WI",0,16980,34334,12/31/9999,12/31/9999,0,0,STATE,Chicago,CHICAGO,21,N,Cook,"Chicago-Naperville, IL-IN-WI",1,176,8/31/2022,0,91196,91196,15967,8/31/2022,12/31/9999,16044,1/29/1997,9,Chicago,Chicago,7,0,2533043,0,,0,34334,0,DIF,,0,1,1/29/1997,1,1,0,0,0,0,41.97127701,N,-87.66015598,3,Asian or Pacific Islander American owned,0,American Metro Bank,AMERICAN METRO BCORP INC,310,310,0,0,,,2,0,2,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.040875343,1.040875343,1.04,1.04,7.8,7.8,3272367,6/26/2026,0,0,4,Commercial Lending Specialization,IL,IL,1,17031,Illinois,17,0,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,34334,57093,http://www.americanmetrobank.com,60640,,,,,,,,,,,,,
1,1155 Canyon Blvd,Ste 310,792499,N,51,1,"Boulder, CO",,0,,14500,1,"Boulder, CO",0,14500,57295,12/31/9999,12/31/9999,0,24182,OCC,Boulder,GREENWOOD VILLAGE,3,N,Boulder,"Denver-Aurora, CO",1,216,8/31/2022,0,666655,666655,0,8/31/2022,12/31/9999,119194,8/1/2001,13,Dallas,Dallas,10,1,3015939,0,,0,57295,0,DIF,,0,1,2/1/2008,1,1,0,0,0,0,40.01608599,N,-105.280059,,NONE,0,AMG National Trust Bank,AMG NATIONAL CORP,4520,4520,0,0,4,WESTERN DISTRICT,8,0,8,0,0,0,"AMG/Guaranty Trust, National Association",8/31/2022,5,,OCC,3/31/2026,3/31/2026,2.358004565,3.239647864,3.24,2.36,15.39,15.39,3583700,6/26/2026,0,0,4,Commercial Lending Specialization,CO,CO,0,8013,Colorado,8,0,13,0,1,0,0,,,,,,,,,,,,,,,,,1,10,57295,360726,www.amgnational.com,80302,,,,KANSAS CITY,,,,,,,,,
1,246 2nd St,,76422,NM,51,1,"Bloomington, IL",,0,,14010,1,"Bloomington, IL",0,14010,11681,12/31/9999,12/31/9999,0,0,STATE,Anchor,ANCHOR,21,N,Mclean,"Bloomington-Pontiac, IL",1,145,8/31/2022,0,67163,67163,12318,8/31/2022,12/31/9999,8602,12/27/1920,9,Chicago,Chicago,7,0,655530,0,,0,11681,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,40.568426,N,-88.53742399,,NONE,0,Anchor State Bank,ANCHOR BCORP INC,149,149,0,0,,,1,0,1,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,0.842182609,1.09088083,1.09,0.84,6.99,6.99,1205222,6/26/2026,0,0,2,Agricultural Specialization,IL,IL,1,17113,Illinois,17,0,9,1,0,0,0,,,,,,,,,,,,,,,,,1,10,11681,7466,anchorstatebank.com,61720,,,,,,,,,,,,,
1,111 W Highway St,,107366,NM,51,1,"Galesburg, IL",,0,,0,0,,1,23660,10858,12/31/9999,12/31/9999,0,0,STATE,Oneida,ONEIDA,21,N,Knox,,0,,8/31/2022,0,89135,89135,0,8/31/2022,12/31/9999,18075,2/17/1917,9,Chicago,Chicago,7,0,916343,0,,0,10858,0,DIF,,0,1,1/1/1934,1,1,0,0,1,0,41.07511502,N,-90.22539403,,NONE,0,Anderson State Bank,ANDERSON BCORP INC,401,401,0,0,,,1,0,1,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.517186584,1.517186584,1.52,1.52,8.94,8.94,1210114,6/26/2026,0,0,2,Agricultural Specialization,IL,IL,1,17095,Illinois,17,1,9,0,1,0,0,,,,,,,,,,,,,,,,,0,0,10858,6947,www.andersonstatebank.com,61467,,,,,,,,,,,,,
1,100 E Vienna St,,112272,NM,51,1,,,,,0,,,,,11682,12/31/9999,12/31/9999,0,0,STATE,Anna,ANNA,21,N,Union,,,,8/31/2022,0,97817,97817,0,8/31/2022,12/31/9999,14026,9/18/1930,9,Chicago,Chicago,8,0,691743,0,,0,11682,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,37.46044999,N,-89.24634298,,NONE,0,Anna State Bank,ASB MANAGEMENT CORP,231,231,0,0,,,1,0,1,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,0.824598744,1.003083321,1,0.82,6.64,6.64,2861616,6/26/2026,0,0,7,Other Specialized Under 1 Billion,IL,IL,1,17181,Illinois,17,0,9,0,1,0,0,,,,,,,,,,,,,,,,,1,20,11682,7467,https://www.annastate.com,62906,,,,,,,,,,,,,
1,103 Main St,,630236,NM,51,1,,,,,0,,,,,17453,12/31/9999,12/31/9999,0,0,STATE,Apple River,APPLE RIVER,21,N,Jo Daviess,,,,8/31/2022,0,505195,505195,0,8/31/2022,12/31/9999,51413,1/5/1948,9,Chicago,Chicago,7,0,594938,0,,0,17453,0,DIF,,0,1,6/1/1955,1,1,0,0,1,0,42.50497873,N,-90.0976018,,NONE,0,Apple River State Bank,FIRST APPLE RIVER CORP,2414,2414,0,0,,,8,0,8,0,0,0,,8/31/2022,3,,FDIC,3/31/2026,3/31/2026,1.522076493,1.588281146,1.59,1.52,19.04,19.04,1143052,6/26/2026,0,0,2,Agricultural Specialization,IL,IL,1,17085,Illinois,17,1,9,0,1,0,0,,,,,,,,,,,,,,,,,1,10,17453,11442,www.appleriverstatebank.com,61001,,,,,,,,,,,,,
1,320 Kansas Ave,,1439702,N,51,0,"Kansas City, MO-KS",,0,,28140,1,"Kansas City, MO-KS",0,28140,4666,12/31/9999,12/31/9999,0,8796,OCC,Fort Leavenworth,KANSAS CITY,3,N,Leavenworth,"Kansas City-Overland Park-Kansas City, MO-KS",1,312,8/31/2022,0,1237168,1237168,10192,8/31/2022,12/31/9999,180619,1/1/1907,11,Kansas City,Kansas City,10,1,983457,0,1,0,4666,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,39.33856401,N,-94.92341203,,NONE,0,"Armed Forces Bank, National Association",DICKINSON FINANCIAL CORP II,6220,6220,0,0,4,WESTERN DISTRICT,15,0,15,0,0,0,Army National Bank,8/31/2022,4,,OCC,3/31/2026,3/31/2026,1.737010471,2.297768835,2.3,1.74,13.84,13.84,2107707,6/26/2026,0,0,4,Commercial Lending Specialization,KS,MO,0,20103,Kansas,20,0,11,0,0,1,0,,,,,,,,,,,,,,,,,0,10,4666,3100,afbank.com,66027,The Army National Bank of Fort Leavenworth,,,KANSAS CITY,,,,,,,,,
1,200 N Adams St,,45537550,N,41,0,"Green Bay, WI",,0,,24580,1,"Green Bay, WI",0,24580,5296,7/21/2011,12/31/9999,1,23695,OCC,Green Bay,GREEN BAY,3,N,Brown,"Green Bay-Shawano, WI",1,267,4/15/2026,0,35800709,35800709,0,4/1/2026,12/31/9999,4831236,01/01/1874,9,Chicago,Chicago,7,1,917742,0,1,0,5296,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,44.51495005,N,-88.01353475,,NONE,0,"Associated Bank, National Association",ASSOCIATED BANC-CORP,121595,121595,0,0,7,,187,0,218,0,0,0,"Associated Bank Green Bay, National Association",4/15/2026,3,,OCC,3/31/2026,3/31/2026,1.072704347,1.350498558,1.35,1.07,10.1,10.1,1199563,6/26/2026,1,0,4,Commercial Lending Specialization,WI,WI,0,55009,Wisconsin,55,0,9,0,0,0,0,,,,,,,,,,,,,,,,,1,10,5296,3561,www.associatedbank.com,54301,Kellogg-Citizens National Bank of Green Bay,810,,,,,,,,,,,
1,401 N Madison St,,644563,NM,41,1,,,,,0,,,,,1047,12/31/9999,12/31/9999,0,0,STATE,Litchfield,LITCHFIELD,21,N,Montgomery,,,,6/10/2024,0,547503,547503,13079,5/24/2024,12/31/9999,67458,9/1/1902,9,Chicago,Chicago,8,0,496845,0,,0,1047,0,DIF,,0,1,1/1/1934,1,1,0,0,0,0,39.177522,N,-89.656857,,NONE,0,Bank & Trust Company,LBT BANCSHARES INC,1817,1817,0,0,,,11,0,11,0,0,0,Litchfield Bank and Trust Company,6/10/2024,3,,FDIC,3/31/2026,3/31/2026,1.137651442,1.54400025,1.54,1.14,10.85,10.85,1099195,6/26/2026,0,0,4,Commercial Lending Specialization,IL,IL,1,17135,Illinois,17,0,9,0,1,0,0,,,,,,,,,,,,,,,,,1,10,1047,700,www.banktr.com,62056,,810,,,,,,,,,,,
