Bedrooms,
Item,Volume
ADJUSTABLE BASE FULL,50 cf
ADJUSTABLE BASE KING,60 cf
ADJUSTABLE BASE QUEEN,55 cf
ADJUSTABLE BASE TWIN,40 cf
"ARMOIRE, LARGE",50 cf
"ARMOIRE, REGULAR",30 cf
BED CANOPY,17 cf
"BED FRAME, CALI KING",40 cf
"BED FRAME, FULL",25 cf
"BED FRAME, KING",35 cf
"BED FRAME, QUEEN",30 cf
"BED FRAME, TWIN",20 cf
"BED, BUNK (WITH MATTRESSES)",105 cf
"BED, CAPTAIN (WITH MATTRESS)",50 cf
"BED, DAY",50 cf
"BED, DOUBLE/FULL (MATTRESS AND BOX SPRING)",50 cf
"BED, FOOTBOARD (REGULAR)",10 cf
"BED, HEADBOARD (LARGE)",21 cf
"BED, HEADBOARD (REGULAR)",10 cf
"BED, KING (MATTRESS AND BOX SPRING)",70 cf
"BED, POSTS",5 cf
"BED, QUEEN (MATTRESS AND BOX SPRING)",65 cf
"BED, SINGLE (MATTRESS AND BOX SPRING)",40 cf
"BED, TRUNDLE",20 cf
"BED, TWIN (MATTRESS AND BOX SPRING)",40 cf
"BED, WATER Q/K",70 cf
"BED, WOOD PLATFORM/FRAME",29 cf
BOX SPRINGS,16 cf
CHEST OF DRAWERS ( LARGE),35 cf
CHEST OF DRAWERS ( MEDIUM),25 cf
CHEST OF DRAWERS ( SMALL),18 cf
"CHEST, CEDAR",14 cf
"DRESSER, CHILD",16 cf
"DRESSER, DOUBLE",40 cf
"DRESSER, MIRROR",6 cf
"DRESSER, SINGLE",25 cf
"DRESSER, TRIPLE",50 cf
FOOTBOARD LG,15 cf
HAMPER,4 cf
IRONING BOARD,2 cf
JEWELRY ARMOIRE,11 cf
"LAMP, FLOOR",7 cf
"LAMP, TABLE",3 cf
LINGERIE CHEST,15 cf
"MATTRESS ONLY, DOUBLE/FULL",23 cf
"MATTRESS ONLY, KING",31 cf
"MATTRESS ONLY, QUEEN",26 cf
"MATTRESS ONLY, TWIN/SINGLE",20 cf
"MATTRESS, CAL KING",50 cf
"MATTRESS, TWIN XL",22 cf
METAL BED FRAME,2 cf
METAL PLATFORM BED FRAME,20 cf
"MIRROR, LARGE",10 cf
"MIRROR, MEDIUM",4 cf
"MIRROR, SM",2 cf
"MIRROR, STANDING",15 cf
"MIRROR, VANITY",5 cf
NIGHT STAND,10 cf
QUILT RACK,10 cf
"SOFA, 2 CUSHION LOVESEAT (RECLINER`S BUILT IN)",50 cf
"SOFA, 3 CUSHION (RECLINER`S BUILT IN)",75 cf
"TABLE, VANITY",16 cf
"TRUNK, LARGE",14 cf
"TRUNK, MEDIUM",10 cf
"TRUNK, SMALL",5 cf
"VANITY, BENCH",5 cf
"VANITY, DRESSER",20 cf
WARDROBE CLOSET,25 cf
