Garage Inventory,
Item,Volume
"AIR COMPRESSOR, LG",15 cf
"AIR COMPRESSOR, MED",10 cf
"AIR COMPRESSOR, SM",5 cf
ATV,180 cf
"BIKE, ADULT",9 cf
"BIKE, CHILD",5 cf
"BIKE, ELECTRIC",12 cf
CAR TIRE,5 cf
CAR TIRE W/RIM,10 cf
CHOP SAW,20 cf
CHURCH PEW,25 cf
DOLLEY,5 cf
DRILL PRESS,30 cf
EDGER,5 cf
"GENERATOR, LG",30 cf
"GENERATOR, MED",20 cf
"GENERATOR, SM",10 cf
GOLF CLUBS W/BAG,10 cf
HEAVY BAG W/ STAND,12 cf
HOSE,5 cf
HOSE W/REEL,7 cf
LADDER TO 7-10 FEET,7 cf
LADDER UP TO 6 FEET,5 cf
"LADDER, EXTENSION",15 cf
LATHE,40 cf
"LAWNMOWER, PUSH",20 cf
"LAWNMOWER, RIDING",100 cf
LEAF BLOWER,5 cf
MITER SAW,20 cf
MOTOR SCOOTER,43 cf
MOTORCYCLE (LARGE),143 cf
MOTORCYCLE (MEDIUM),93 cf
PLANER,25 cf
PLASTIC SHELVING,5 cf
PRESSURE WASHER,11 cf
RADIAL ARM SAW,20 cf
ROUTER TABLE,20 cf
SNOW BLOWER,21 cf
TABLE SAW,20 cf
TOOL BOX HANDHELD LARGE,11 cf
TOOL BOX HANDHELD MEDIUM,7 cf
TOOL BOX HANDHELD SMALL,5 cf
TOOL CHEST ROLLING LARGE,50 cf
TOOL CHEST ROLLING MEDIUM,34 cf
TOOL CHEST ROLLING SMALL,21 cf
"TOOLS, GARDEN (RAKES, SHOVELS, ETC.)",1 cf
TRICYCLE,15 cf
TRIMMER,5 cf
WEED WACKER,5 cf
WIRE SHELVING,6 cf
"WORK BENCH, REG.",20 cf
"WORK BENCH, SM.",10 cf
